"name","area","address","shelter_type","shelter_sort","shelter_code"
"石巻小学校","1","泉町一丁目1番2号","1","5","04202I00000000000001"
"石巻中央公民館","1","日和が丘一丁目2番7号","1","5","04202I00000000000002"
"羽黒山公園","1","羽黒町一丁目","1","5","04202I00000000000003"
"石巻中学校","1","泉町四丁目7番15号","1","5","04202I00000000000004"
"門脇中学校","1","泉町四丁目7番12号","1","5","04202I00000000000005"
"宮城県石巻高等学校","1","大手町3番13号","1","5","04202I00000000000006"
"市立女子高等学校","1","日和が丘二丁目11番8号","1","5","04202I00000000000007"
"日和山公園","1","日和が丘二丁目","1","5","04202I00000000000008"
"門脇小学校","1","門脇町四丁目2番11号","1","5","04202I00000000000009"
"雲雀野公園","1","雲雀野町一丁目","1","5","04202I00000000000010"
"貞山小学校","1","貞山五丁目3番1号","1","5","04202I00000000000011"
"山下中学校","1","貞山五丁目3番2号","1","5","04202I00000000000012"
"宮城県石巻工業高等学校","1","貞山五丁目1番1号","1","5","04202I00000000000013"
"宮城県石巻好文館高等学校","1","貞山三丁目4番1号","1","5","04202I00000000000014"
"山下小学校","1","山下町一丁目10番10号","1","5","04202I00000000000015"
"総合体育館","1","泉町三丁目1番63号","1","5","04202I00000000000016"
"宮城県石巻高等技術専門校","1","門脇字青葉西27番1","1","5","04202I00000000000017"
"上釜会館","1","門脇字浦屋敷4番地3","1","5","04202I00000000000018"
"重吉神社","1","新館二丁目6番105号","1","5","04202I00000000000019"
"三軒屋公園","1","大街道東三丁目","1","5","04202I00000000000020"
"釜会館","1","築山三丁目6番28号","1","5","04202I00000000000021"
"釜小学校","1","大街道西二丁目5番1号","1","5","04202I00000000000022"
"大街道小学校","1","大街道南一丁目3番1号","1","5","04202I00000000000023"
"住吉小学校","1","住吉町二丁目4番27号","1","5","04202I00000000000024"
"向陽小学校","1","向陽町四丁目13番24号","1","5","04202I00000000000025"
"蛇田中央公園","1","向陽町四丁目","1","5","04202I00000000000026"
"蛇田団地南公園","1","向陽町三丁目","1","5","04202I00000000000027"
"高玉神社（高玉ちびっこ広場）","1","蛇田字上中埣88番地の1","1","5","04202I00000000000028"
"蛇田公民館","1","蛇田字上中埣26番地","1","5","04202I00000000000029"
"新下前沼公園","1","蛇田字新下前沼","1","5","04202I00000000000030"
"蛇田小学校","1","蛇田字上中埣97番地の1","1","5","04202I00000000000031"
"蛇田中学校","1","蛇田字新金沼 20番地の1","1","5","04202I00000000000032"
"開北小学校","1","大橋一丁目2番1","1","5","04202I00000000000033"
"住吉中学校","1","東中里三丁目3番1号","1","5","04202I00000000000034"
"住吉幼稚園","1","南中里一丁目8番25号","1","5","04202I00000000000035"
"北上公園","1","中里三丁目","1","5","04202I00000000000036"
"中里小学校","1","中里五丁目7番1号","1","5","04202I00000000000037"
"新境谷地南公園","1","中里六丁目","1","5","04202I00000000000038"
"湊小学校","1","吉野町一丁目3番21号","1","5","04202I00000000000039"
"湊幼稚園・みなと荘","1","湊町一丁目1番9号","1","5","04202I00000000000040"
"青葉中学校","1","門脇字一番谷地51番地10","1","5","04202I00000000000041"
"湊第二小学校","1","大門町二丁目2番1号","1","5","04202I00000000000042"
"湊中学校","1","大門町四丁目1番1号","1","5","04202I00000000000043"
"松並公園","1","松並二丁目","1","5","04202I00000000000044"
"筒場公園","1","緑町一丁目","1","5","04202I00000000000045"
"鹿妻小学校","1","鹿妻北二丁目2番地1","1","5","04202I00000000000046"
"鹿妻西公園","1","鹿妻南一丁目","1","5","04202I00000000000047"
"鹿妻東公園","1","鹿妻南二丁目","1","5","04202I00000000000048"
"市立女子商業高等学校","1","渡波字浜曽根山1番地","1","5","04202I00000000000049"
"渡波中学校","1","渡波字浜曽根山1番地","1","5","04202I00000000000050"
"渡波小学校","1","渡波町一丁目5番22号","1","5","04202I00000000000051"
"渡波公民館","1","渡波町二丁目6番31号","1","5","04202I00000000000052"
"宮城県水産高等学校","1","宇田川町1番24号","1","5","04202I00000000000053"
"万石浦小学校","1","渡波字境釜1番地1","1","5","04202I00000000000054"
"うしお荘","1","流留字七勺21番地","1","5","04202I00000000000055"
"市民会館","1","不動町二丁目16番1号","1","5","04202I00000000000056"
"宮城県石巻商業高等学校","1","南境字大樋20番地","1","5","04202I00000000000057"
"総合運動公園","1","南境字新小堤18番地","1","5","04202I00000000000058"
"稲井小学校","1","真野字八の坪116番地1","1","5","04202I00000000000059"
"稲井中学校","1","真野字八の坪116番地","1","5","04202I00000000000060"
"稲井公民館","1","新栄一丁目25番地7","1","5","04202I00000000000061"
"高木東公民館","1","高木字大沢22番地","1","5","04202I00000000000062"
"水沼西生活センター","1","水沼字横路4番地の3","1","5","04202I00000000000063"
"水沼東部構造改善センター","1","水沼字台畑1番地の3","1","5","04202I00000000000064"
"真野日向日影生活センター","1","真野字日向129番地","1","5","04202I00000000000065"
"真野小学校跡地","1","真野字馬場前77番地","1","5","04202I00000000000066"
"沼津集落センター","1","沼津字山中70番地1","1","5","04202I00000000000067"
"洞源院","1","渡波字仁田山2番地","1","5","04202I00000000000068"
"法音寺","1","渡波字神明35番地3","1","5","04202I00000000000069"
"峰耕寺","1","折浜字風越13番地","1","5","04202I00000000000070"
"荻浜小学校","1","桃浦字米久保5番地","1","5","04202I00000000000071"
"五十鈴神社","1","月浦字高頭山2番地1","1","5","04202I00000000000072"
"万石浦公園","1","流留字七勺","1","5","04202I00000000000073"
"荻浜公民館","1","荻浜字家前65番地","1","5","04202I00000000000074"
"荻浜中学校","1","荻浜字田浜山3番地","1","5","04202I00000000000075"
"東浜小学校","1","牧浜字竹浜道22番地2","1","5","04202I00000000000076"
"小竹地区コミュニティセンター","1","小竹浜字山居山11番地","1","5","04202I00000000000077"
"福貴浦会館","1","福貴浦字福貴屋敷39番地","1","5","04202I00000000000078"
"狐﨑漁村センター","1","狐崎浜字狐﨑屋敷4番地","1","5","04202I00000000000079"
"田代島自然教育センター","1","田代浜字内山88番地3","1","5","04202I00000000000080"
"宮城県立石巻養護学校","1","蛇田字新立野410番地1","1","5","04202I00000000000081"
"万石浦中学校","1","流留字七勺21番地","1","5","04202I00000000000082"
"葬祭会館ほたる","1","大門町三丁目４番１０号","1","5","04202I00000000000083"
"株式会社ヨークベニマル湊鹿妻店","1","伊原津二丁目１０番５０号","1","5","04202I00000000000084"
"ホーマック株式会社石巻東店","1","伊原津二丁目１１番５５号","1","5","04202I00000000000085"
"成田老人憩の家","2","成田字小塚宅地91番地2","1","5","04202I00000000000086"
"飯野川中学校","2","相野谷字旧会所前34番地","1","5","04202I00000000000087"
"飯野川第一小学校","2","相野谷字旧屋敷56番地","1","5","04202I00000000000088"
"河北総合センター（ビックバン）","2","成田字小塚裏畑54番地","1","5","04202I00000000000089"
"源光寺会館","2","相野谷字柿木前42番地","1","5","04202I00000000000090"
"相野谷公民館","2","相野谷字塚崎38番地3","1","5","04202I00000000000091"
"梅林寺会館","2","中野字岩沢99番地","1","5","04202I00000000000092"
"中野林業センター","2","中野字大屋敷123番地１","1","5","04202I00000000000093"
"牧野巣公民館","2","中野字牧野巣山55番地","1","5","04202I00000000000094"
"中島生活センター","2","中島字大島山畑86番地","1","5","04202I00000000000095"
"飯野川第二小学校","2","皿貝字宮田7番地","1","5","04202I00000000000096"
"馬鞍老人憩の家","2","馬鞍字百目木13番地","1","5","04202I00000000000097"
"皿貝老人憩の家","2","皿貝字郷田21番地7","1","5","04202I00000000000098"
"五十五人生活センター","2","小船越字大縄場67番地5","1","5","04202I00000000000099"
"鶴家公民館","2","小船越字的場16番地2","1","5","04202I00000000000100"
"沢田老人憩の家","2","小船越字崎山147番地1","1","5","04202I00000000000101"
"川の上構造改善センター","2","小船越字山畑133番地1","1","5","04202I00000000000102"
"河北中学校","2","小船越字山畑250番地","1","5","04202I00000000000103"
"後谷地老人憩の家","2","小船越字舟形22番地1","1","5","04202I00000000000104"
"大谷地小学校","2","小船越字角田16番地2","1","5","04202I00000000000105"
"吉野老人憩の家","2","飯野字外吉野114番地2","1","5","04202I00000000000106"
"大吉野福祉センター","2","飯野字大吉野入17番地","1","5","04202I00000000000107"
"飯野体育研修センター","2","飯野字大筒前東一番43番地","1","5","04202I00000000000108"
"本地老人憩の家","2","飯野字宮前41番地","1","5","04202I00000000000109"
"新田交流会館","2","飯野字浦谷地沖65番地1","1","5","04202I00000000000110"
"岩崎生活センター","2","飯野字岩崎15番地1","1","5","04202I00000000000111"
"北境老人憩の家","2","北境字上侍井1番地","1","5","04202I00000000000112"
"東福田農事集会所","2","東福田字馬場95番地1","1","5","04202I00000000000113"
"大土老人憩の家","2","大森字日影168番地","1","5","04202I00000000000114"
"二俣小学校","2","大森字大平6番地","1","5","04202I00000000000115"
"親林交流館","2","三輪田字谷津162番地2","1","5","04202I00000000000116"
"高徳寺","2","三輪田字持領前60番地","1","5","04202I00000000000117"
"三輪田中老人憩の家","2","三輪田字馬場前上3番地","1","5","04202I00000000000118"
"三輪田下公民館","2","三輪田字中里前90番地","1","5","04202I00000000000119"
"林業者生活改善センター","2","福地字加茂崎28番地2","1","5","04202I00000000000120"
"横川公民館","2","福地字町149番地4","1","5","04202I00000000000121"
"福地体育研修センター","2","福地字町頭12番地1","1","5","04202I00000000000122"
"原生活センター","2","針岡字六角22番地1","1","5","04202I00000000000123"
"大川中学校","2","針岡字山下61番地","1","5","04202I00000000000124"
"大川小学校","2","釜谷字山根1番地","1","5","04202I00000000000125"
"間垣老人憩の家","2","針岡字新町1番地3","1","5","04202I00000000000126"
"釜谷交流会館","2","釜谷字韮島94番地","1","5","04202I00000000000127"
"入釜谷生活センター","2","釜谷字入釜谷53番地1","1","5","04202I00000000000128"
"農林漁業者トレーニングセンター","2","長面字町裏1番地","1","5","04202I00000000000129"
"長面老人憩の家","2","長面字町裏1番地","1","5","04202I00000000000130"
"尾崎老人憩の家","2","尾崎字宮下154番地","1","5","04202I00000000000131"
"辻堂生活センター","2","三輪田字上新田21番地1","1","5","04202I00000000000132"
"梨の木舟渡公民館","2","大森字青ヶ崎土手外16番地4","1","5","04202I00000000000133"
"大森公民館","2","大森字内田300番地","1","5","04202I00000000000134"
"谷地公民館","2","福地字大正13番地2","1","5","04202I00000000000135"
"追舘公民館","2","針岡字追舘106番地2","1","5","04202I00000000000136"
"鳥屋森公民館","2","針岡字迦蘭19番地1","1","5","04202I00000000000137"
"芦早公民館","2","針岡字芦早55番地1地先","1","5","04202I00000000000138"
"根方老人憩の家","4","前谷地字根方山5番地5","1","5","04202I00000000000139"
"河南老人福祉センター","4","前谷地字黒沢前35番地","1","5","04202I00000000000140"
"定川会館","4","前谷地字沖西1番地","1","5","04202I00000000000141"
"根方公益堂","4","前谷地字根方山83番地1","1","5","04202I00000000000142"
"和渕山根ふれあいセンター","4","和渕字牡丹窪72番地","1","5","04202I00000000000143"
"和渕地区コミュニティセンター","4","和渕字清水75番地","1","5","04202I00000000000144"
"和渕小学校","4","和渕字佐沼川200番地","1","5","04202I00000000000145"
"河南農村環境改善センター","4","和渕字笈入前1番地1","1","5","04202I00000000000146"
"河南東中学校","4","須江字糠塚3番地3","1","5","04202I00000000000147"
"梅木ふれあいセンター","4","鹿又字梅木屋敷96番地","1","5","04202I00000000000148"
"四家会館","4","鹿又字四家前26番地2","1","5","04202I00000000000149"
"宮城県河南高等学校","4","鹿又字用水向126番地","1","5","04202I00000000000150"
"本町コミュニティセンター","4","鹿又字伊勢前84番地2","1","5","04202I00000000000151"
"鹿又小学校","4","鹿又字矢袋屋敷合31番地","1","5","04202I00000000000152"
"谷地中老人憩の家","4","鹿又字観音裏137番地1","1","5","04202I00000000000153"
"曽波神多目的研修センター","4","鹿又字曽波神前151番地","1","5","04202I00000000000154"
"山根中埣転作推進集落センター","4","須江字沢尻20番地2","1","5","04202I00000000000155"
"須江小学校","4","須江字代官43番地","1","5","04202I00000000000156"
"砂押会館","4","広渕字柏木前135番地1","1","5","04202I00000000000157"
"柏木ふれあいセンター","4","広渕字砂四1番地1","1","5","04202I00000000000158"
"広渕小学校","4","広渕字町北233番地","1","5","04202I00000000000159"
"新田公会堂","4","広渕字新田18番地2","1","5","04202I00000000000160"
"砂押老人憩いの家","4","広渕字柏木前103番地1","1","5","04202I00000000000161"
"広渕新田老人憩いの家","4","広渕字川南485番地","1","5","04202I00000000000162"
"北村小学校","4","北村字幕ケ崎一17番地","1","5","04202I00000000000163"
"青木多目的研修センター","4","北村字新大日6番地1","1","5","04202I00000000000164"
"大番所生活改善センター","4","北村字久米田79番地1","1","5","04202I00000000000165"
"朝日会館","4","北村字朝日25番地","1","5","04202I00000000000166"
"北村老人創作館","4","北村字大欠下1番地1","1","5","04202I00000000000167"
"箱清水老人憩の家","4","北村字関田3番地","1","5","04202I00000000000168"
"北村農村交流センター","4","北村字幕ヶ崎55番地1","1","5","04202I00000000000169"
"俵庭ふれあいセンター","4","北村字新俵庭13番地1","1","5","04202I00000000000170"
"河南西中学校","4","北村字小崎一37番地2","1","5","04202I00000000000171"
"遊楽館","4","北村字前山15番地1","1","5","04202I00000000000172"
"河南中央公園","4","須江字横手1番地1","1","5","04202I00000000000173"
"押切沼公園","4","広渕字砂四15番地1","1","5","04202I00000000000174"
"北村農村公園","4","北村字長沢一2番地1","1","5","04202I00000000000175"
"鹿又農村公園","4","鹿又字道的前238番地","1","5","04202I00000000000176"
"前谷地農村公園","4","前谷地字中埣19番地1","1","5","04202I00000000000177"
"前谷地小学校","4","前谷地字沖埣125番地","1","5","04202I00000000000178"
"しらさぎ台コミュニティセンター","4","須江字しらさぎ台二丁目34番地","1","5","04202I00000000000179"
"本地生活センター","6","北上町橋浦字西山2番地","1","5","04202I00000000000180"
"橋浦大須生活改善センター","6","北上町橋浦字大須29番地1","1","5","04202I00000000000181"
"橋浦保育所","6","北上町橋浦字行人前164番地","1","5","04202I00000000000182"
"長尾生活センター","6","北上町長尾字東前23番地","1","5","04202I00000000000183"
"橋浦小学校","6","北上町長尾字松崎1番地","1","5","04202I00000000000184"
"釜谷崎生活センター","6","北上町橋浦字北釜谷崎220番地2","1","5","04202I00000000000185"
"北上公民館女川分館","6","北上町女川字畑中2番地2","1","5","04202I00000000000186"
"追波公民館","6","北上町十三浜字菖蒲田221番地2","1","5","04202I00000000000187"
"吉浜公民館","6","北上町十三浜字吉浜255番地5","1","5","04202I00000000000188"
"北上公民館","6","北上町十三浜字月浜88番地2","1","5","04202I00000000000189"
"吉浜小学校","6","北上町十三浜字東田50番地3","1","5","04202I00000000000190"
"月浜コミュニティセンター","6","北上町十三浜字東田15番地1","1","5","04202I00000000000191"
"立神生活センター","6","北上町十三浜字立神124番地3","1","5","04202I00000000000192"
"長塩谷公民館","6","北上町十三浜字長塩谷305番地3","1","5","04202I00000000000193"
"白浜公民館","6","北上町十三浜字白浜11番地2","1","5","04202I00000000000194"
"大室公民館","6","北上町十三浜字大室94番地","1","5","04202I00000000000195"
"相川生活改善センター","6","北上町十三浜字相川64番地2","1","5","04202I00000000000196"
"相川小学校","6","北上町十三浜字相川100番地","1","5","04202I00000000000197"
"相川中学校跡地","6","北上町十三浜字崎山181番地","1","5","04202I00000000000198"
"大指林業者生活改善センター","6","北上町十三浜字松の坂47番地4","1","5","04202I00000000000199"
"小滝公民館","6","北上町十三浜字小滝27番地1","1","5","04202I00000000000200"
"北上保健医療センター","6","北上町橋浦字大須215番地","1","5","04202I00000000000201"
"北上中学校","6","北上町十三浜字小田93番地1","1","5","04202I00000000000202"
"にっこりサンパーク","6","北上町十三浜字小田93番地4","1","5","04202I00000000000203"
"寺崎地区農業者担手センター","5","桃生町寺崎字町138番地1","1","5","04202I00000000000204"
"桃生中学校","5","桃生町寺崎字植立20番地","1","5","04202I00000000000205"
"中津山第二小学校","5","桃生町中津山字江下57番地","1","5","04202I00000000000206"
"桃生バイオ研修センター","5","桃生町中津山字四軒前40番地","1","5","04202I00000000000207"
"城内老人憩の家","5","桃生町城内字東嶺52番地2","1","5","04202I00000000000208"
"香積寺","5","桃生町城内字西嶺122番地","1","5","04202I00000000000209"
"新田保育所","5","桃生町新田字西町30番地","1","5","04202I00000000000210"
"新田老人憩いの家","5","桃生町新田字的場37番地2","1","5","04202I00000000000211"
"中津山第一小学校","5","桃生町給人町字東町96番地","1","5","04202I00000000000212"
"神取いきいき交流センター","5","桃生町神取字鹿島193番地2","1","5","04202I00000000000213"
"山崎集落センター","5","桃生町神取字山畑156番地8","1","5","04202I00000000000214"
"高須賀上生活センター","5","桃生町高須賀字内畑33番地3","1","5","04202I00000000000215"
"高須賀地区定住センター","5","桃生町高須賀字下畑14番地1","1","5","04202I00000000000216"
"小池老人憩の家","5","桃生町太田字閖前56番地15","1","5","04202I00000000000217"
"袖沢会館","5","桃生町太田字柚沢92番地1","1","5","04202I00000000000218"
"北沢集落センター","5","桃生町太田字北沢27番地","1","5","04202I00000000000219"
"薬田老人憩の家","5","桃生町太田字薬田133番地","1","5","04202I00000000000220"
"桃生文化交流会館","5","桃生町太田字拾貫弐番71番地2","1","5","04202I00000000000221"
"万才山婦人ホーム","5","桃生町太田字万才山4番地2","1","5","04202I00000000000222"
"入沢老人憩の家","5","桃生町太田字中下55番地1","1","5","04202I00000000000223"
"九郎沢会館","5","桃生町太田字上九郎沢132番地4","1","5","04202I00000000000224"
"桃生小学校","5","桃生町樫崎字高附5番地","1","5","04202I00000000000225"
"妙円寺","5","桃生町樫崎字太郎山6番地","1","5","04202I00000000000226"
"山田老人憩の家","5","桃生町樫崎字山田128番地2","1","5","04202I00000000000227"
"向永井老人憩の家","5","桃生町永井字新山36番地","1","5","04202I00000000000228"
"浄音寺","5","桃生町永井字仁田森23番地","1","5","04202I00000000000229"
"永井いきいき交流センター","5","桃生町永井字土手下246番地1","1","5","04202I00000000000230"
"八雲神社（倉埣生活センター）","5","桃生町倉埣字人家36番地","1","5","04202I00000000000231"
"倉埣老人憩の家","5","桃生町倉埣字寺後6番地","1","5","04202I00000000000232"
"牛田生活センター","5","桃生町牛田字雷109番地1","1","5","04202I00000000000233"
"桃生総合センター","5","桃生町城内字東嶺164番地","1","5","04202I00000000000234"
"高須賀下親交会館","5","桃生町高須賀字下畑54番地5","1","5","04202I00000000000235"
"表永井地区会館","5","桃生町永井字中ノ内196番地1","1","5","04202I00000000000236"
"永井西前地区会館","5","桃生町永井字中ノ内120番地1","1","5","04202I00000000000237"
"雄勝総合支所","3","雄勝町雄勝字伊勢畑84番地1","1","5","04202I00000000000238"
"伊勢畑地区コミュニティセンター","3","雄勝町雄勝字伊勢畑67番地12","1","5","04202I00000000000239"
"下雄勝会館","3","雄勝町下雄勝一丁目66番地","1","5","04202I00000000000240"
"雄勝小学校","3","雄勝町雄勝字小渕38番地","1","5","04202I00000000000241"
"味噌作親交会館","3","雄勝町雄勝字味噌作55番地1","1","5","04202I00000000000242"
"雄勝森林公園","3","雄勝町雄勝字原39番地","1","5","04202I00000000000243"
"雄勝中学校","3","雄勝町雄勝字寺4番地3","1","5","04202I00000000000244"
"船戸友交会館","3","雄勝町雄勝字船戸神明10番地19","1","5","04202I00000000000245"
"唐桑会館","3","雄勝町雄勝字唐桑128番地1","1","5","04202I00000000000246"
"(旧)水浜保育所","3","雄勝町水浜字水浜105番地1","1","5","04202I00000000000247"
"(旧)水浜小学校","3","雄勝町水浜字水浜68番地","1","5","04202I00000000000248"
"水浜漁村センター","3","雄勝町水浜字水浜46番地4","1","5","04202I00000000000249"
"分浜高源院","3","雄勝町分浜字分浜109番地","1","5","04202I00000000000250"
"波板老人憩いの家","3","雄勝町分浜字波板93番地2","1","5","04202I00000000000251"
"名振地区コミュニティセンター","3","雄勝町名振字東45番地1","1","5","04202I00000000000252"
"名振老人憩いの家","3","雄勝町名振字中53番地1","1","5","04202I00000000000253"
"船越小学校","3","雄勝町船越字天王山43番地","1","5","04202I00000000000254"
"船越老人憩いの家","3","雄勝町船越字船越1番地","1","5","04202I00000000000255"
"荒老人憩いの家","3","雄勝町船越字荒204番地","1","5","04202I00000000000256"
"大須小学校","3","雄勝町大須字船隠29番地","1","5","04202I00000000000257"
"大須中学校","3","雄勝町大須字舘森1番地1","1","5","04202I00000000000258"
"大須保育所","3","雄勝町大須字大須129番地4","1","5","04202I00000000000259"
"大須老人憩いの家","3","雄勝町大須字船隠1番地1","1","5","04202I00000000000260"
"熊沢生活センター","3","雄勝町熊沢字熊沢57番地3","1","5","04202I00000000000261"
"羽坂老人憩いの家","3","雄勝町桑浜字羽坂419番地","1","5","04202I00000000000262"
"船越小学校立浜分校跡地","3","雄勝町立浜字寺下7番地1","1","5","04202I00000000000263"
"立浜瀧沢寺","3","雄勝町立浜字寺下2番地","1","5","04202I00000000000264"
"小島地区会館","3","雄勝町小島字和田34番地13","1","5","04202I00000000000265"
"明神老人憩いの家","3","雄勝町明神字明神267番地2","1","5","04202I00000000000266"
"母子健康センター","3","雄勝町雄勝字伊勢畑1番地25","1","5","04202I00000000000267"
"船越瀧泉院","3","雄勝町船越字船越74番地1","1","5","04202I00000000000268"
"小島熊野神社","3","雄勝町小島字小島4番地","1","5","04202I00000000000269"
"明神児童遊園","3","雄勝町明神字沼尻21番地","1","5","04202I00000000000270"
"伊勢畑児童遊園跡地","3","雄勝町雄勝字伊勢畑18番地3","1","5","04202I00000000000271"
"雄勝中央公園","3","雄勝町雄勝字下雄勝18番地2","1","5","04202I00000000000272"
"唐桑五十鈴神社","3","雄勝町雄勝字唐桑9番地2","1","5","04202I00000000000273"
"水浜作楽神社","3","雄勝町水浜字小浜5番地1","1","5","04202I00000000000274"
"大浜地区コミュニティセンター","3","雄勝町大浜字袖浜34番地7","1","5","04202I00000000000275"
"立浜老人憩いの家","3","雄勝町立浜字立浜123番地","1","5","04202I00000000000276"
"立浜鹿島神社","3","雄勝町立浜字立浜46番地1","1","5","04202I00000000000277"
"明神塩釜神社","3","雄勝町明神字明神9番地2","1","5","04202I00000000000278"
"上雄勝町内会館","3","雄勝町上雄勝二丁目47番地","1","5","04202I00000000000279"
"分浜老人憩いの家","3","雄勝町分浜字分浜291番地","1","5","04202I00000000000280"
"桑浜老人憩いの家","3","雄勝町桑浜字桑浜84番地2","1","5","04202I00000000000281"
"牡鹿公民館","7","鮎川浜湊川63番地","1","5","04202I00000000000282"
"牡鹿体育館","7","鮎川浜湊川66番地1","1","5","04202I00000000000283"
"牡鹿第一保育所","7","鮎川浜熊野39番地","1","5","04202I00000000000284"
"鮎川小学校","7","鮎川浜清崎山1番地1","1","5","04202I00000000000285"
"鮎川中学校","7","鮎川浜鬼形山1番地24","1","5","04202I00000000000286"
"新山生活センター","7","新山浜台15番地","1","5","04202I00000000000287"
"網地島開発総合センター","7","長渡浜杉13番地82","1","5","04202I00000000000288"
"牡鹿公民館長渡分館","7","長渡浜大金35番地1","1","5","04202I00000000000289"
"網地生活センター","7","網地浜髪剃坂107番地","1","5","04202I00000000000290"
"十八成老人憩の家","7","十八成浜山下1番地","1","5","04202I00000000000291"
"寺山地区コミュニティセンター","7","十八成浜寺山1番地1","1","5","04202I00000000000292"
"小沢地区コミュニティセンター","7","十八成浜葉ノ木沢4番地117","1","5","04202I00000000000293"
"牡鹿公民館小渕分館","7","小渕浜薬師山前10番地","1","5","04202I00000000000294"
"牡鹿第二保育所","7","給分浜羽黒下3番地10","1","5","04202I00000000000295"
"給分老人憩の家","7","給分浜給分前田1番地1","1","5","04202I00000000000296"
"大原小学校","7","大原浜大光寺1番地","1","5","04202I00000000000297"
"大原中学校","7","大原浜一の峠18番地7","1","5","04202I00000000000298"
"大原生活センター","7","大原浜字町16番地","1","5","04202I00000000000299"
"小網倉老人憩の家","7","小網倉浜笹窪3番地2","1","5","04202I00000000000300"
"牡鹿公民館谷川分館","7","谷川浜中井道17番地1","1","5","04202I00000000000301"
"谷川小学校","7","大谷川浜二重坂1番地1","1","5","04202I00000000000302"
"牡鹿公民館大谷川分館","7","大谷川浜苗代目16番地","1","5","04202I00000000000303"
"鮫浦生活センター","7","鮫浦細田15番地","1","5","04202I00000000000304"
"泊地区コミュニティセンター","7","泊浜台11番地1","1","5","04202I00000000000305"
"泊老人憩の家","7","泊浜台11番地2","1","5","04202I00000000000306"
"前網漁民センター","7","前網浜前網42番地1","1","5","04202I00000000000307"
"寄磯センター","7","寄磯浜前浜28番地4","1","5","04202I00000000000308"
"寄磯小学校","7","寄磯浜五梅沢24番地","1","5","04202I00000000000309"
"寄磯中学校","7","寄磯浜五梅沢24番地","1","5","04202I00000000000310"
"牡鹿保健福祉センター（市管理分）","7","鮎川浜清崎山7番地","1","5","04202I00000000000311"
